 (cabinet)
" Churchill, W (cabinet)"
" Duncan, A (cabinet)"
" Short, E (cabinet)"
"&amp; Balcarres, Crawford (cabinet)"
"&amp; Balcorres, Crawford (cabinet)"
"'Isa bin Salman al Khalifa, Shaikh (clinton)"
"'Uthman, Mahmud; 'Uthman, Zayid Ahmad (clinton)"
"A Greenwood, Halifax (cabinet)"
A. I. de Lima (cpdoc)
"A. Lleras Restrepo, Carlos (cpdoc)"
"A. de Souza, T. (cpdoc)"
"Aalgaard, Ole (clinton)"
"Aaron, David Laurence (briefing)"
"Aaron, David Laurence (frus)"
"Aaron, David; Aaron, David L. (clinton)"
"Aaron, Harold R. (briefing)"
"Aaron, Harold R. (cpdoc)"
"Aaron, Harold R. (frus)"
"Abalkhail, Muhammad (briefing)"
"Abalkhail, Muhammad (frus)"
"Abaydi, Haamid al- (briefing)"
"Abaydi, Haamid al- (frus)"
Abbas Hilmi Pasha (briefing)
Abbas Hilmi Pasha (frus)
"Abbas, Ferhat (briefing)"
"Abbas, Ferhat (clinton)"
"Abbas, Ferhat (frus)"
"Abbas, M. M. (cpdoc)"
"Abbas, M. M. (frus)"
"Abbas, Mahmoud (briefing)"
"Abbas, Mahmoud (clinton)"
"Abbas, Mahmoud (frus)"
"Abbaszadeh, Nima (clinton)"
"Abbes, (âJohnnyâ) Garcia (briefing)"
"Abbes, (“Johnny”) Garcia (frus)"
"Abbey, Glenn A. (briefing)"
"Abbey, Glenn A. (clinton)"
"Abbey, Glenn A. (frus)"
"Abbot, Steve (clinton)"
"Abbott, Douglas C. (briefing)"
"Abbott, Douglas C. (frus)"
"Abbott, George M. (clinton)"
"Abbott, George Manlove (frus)"
"Abbott, John True (briefing)"
"Abbott, John True (frus)"
"Abbott, Shirley Levoy (briefing)"
"Abbott, Shirley Levoy (frus)"
"Abboud, Ahmed (clinton)"
"Abboud, Ahmed (frus)"
"Abboud, Ibrahim (briefing)"
"Abboud, Ibrahim (frus)"
"Abbuhl, Forest E. (clinton)"
"Abbuhl, Forest E. (frus)"
"Abbuhl, Forest e. (cpdoc)"
"Abd al-Baqi, Murthatha Said (briefing)"
"Abd al-Baqi, Murthatha Said (frus)"
"Abd al-Hadi, Awni (briefing)"
"Abd al-Hadi, Awni (clinton)"
"Abd al-Hadi, Awni (frus)"
"Abd al-Hamid, Subhi (briefing)"
"Abd al-Hamid, Subhi (frus)"
"Abdalla, Alyce (clinton)"
"Abdallah, Khalil (clinton)"
"Abdel-Rahman, Ibrahim H. (briefing)"
"Abdel-Rahman, Ibrahim H. (clinton)"
"Abdel-Rahman, Ibrahim H. (frus)"
"Abdel-Wahab, Mostafa Wateb (clinton)"
"Abdel-Wahab, Mostafa Wateb (frus)"
"Abdelsayed, Manal (clinton)"
"Abderhalden, Emil (briefing)"
"Abderhalden, Emil (frus)"
"Abdesselam, Belaid (briefing)"
"Abdesselam, Belaid (frus)"
"Abdirascid, Ali Scermarke; Abdirascid, Ali Shermarke (clinton)"
"Abdirascid, Ali Shermarke (briefing)"
"Abdirascid, Ali Shermarke (frus)"
"Abdirazak, Hagi Hussein (briefing)"
"Abdirazak, Hagi Hussein (clinton)"
"Abdirazak, Hagi Hussein (frus)"
"Abdoh, Djalal (briefing)"
"Abdoh, Djalal (frus)"
"Abdoh, Dr. Djalal (clinton)"
"Abdul Hamid, Agha (cpdoc)"
Abdul Ilah (clinton)
"Abdul Rahman, Tengku (clinton)"
"Abdul Rahman, Tunku ibni Al-Marhum (briefing)"
"Abdul Rahman, Tunku ibni Al-Marhum (frus)"
"Abdul Rahman, Tunku; Abdul Rahman, Tunku ibni Al-Marhum; Abdul Razak, Tun (clinton)"
"Abdul Razak, Tun (briefing)"
"Abdul Razak, Tun (cpdoc)"
"Abdul Razak, Tun (frus)"
"Abdul, Monem (briefing)"
"Abdul, Monem (frus)"
"Abdulah, Frank Owen (clinton)"
"Abdulah, Frank Owen (frus)"
"Abdulgani, Hadji Roeslan; Abdulgani, Ruslan (clinton)"
"Abdulgani, Roeslan (briefing)"
"Abdulgani, Roeslan (clinton)"
"Abdulgani, Roeslan (frus)"
Abdulillah (briefing)
Abdulillah (clinton)
Abdulillah (frus)
"Abdulla, Rahmatalla (frus)"
Abdullah (briefing)
Abdullah (frus)
Abdullah II (briefing)
Abdullah II (frus)
Abdullah bin Abd al-Aziz al Saud (briefing)
Abdullah bin Abd al-Aziz al Saud (frus)
"Abdullah bin Abd al-Aziz al Saud, Prince (clinton)"
Abdullah bin Aziz al-Saud (briefing)
Abdullah bin Aziz al-Saud (frus)
Abdullah ibn Abdul Aziz al-Saud (briefing)
Abdullah ibn Abdul Aziz al-Saud (frus)
Abdullah ibn Hussein (briefing)
Abdullah ibn Hussein (frus)
Abdullah ibn Salim Al Sabah (briefing)
Abdullah ibn Salim Al Sabah (clinton)
Abdullah ibn Salim Al Sabah (frus)
"Abdullah, Colonel Radi (clinton)"
"Abdullah, King (clinton)"
"Abdullah, Mohammad (frus)"
"Abdullah, Moulay (briefing)"
"Abdullah, Moulay (clinton)"
"Abdullah, Moulay (frus)"
"Abdullah, Radi (briefing)"
"Abdullah, Radi (frus)"
"Abdullah, Sayed Waheed (clinton)"
"Abdullah, Sayed Waheed (frus)"
"Abdullah, Sheikh Mohammad (clinton)"
"Abe, ShinzÅ (briefing)"
"Abe, Shinzō (frus)"
"Abedin, Huma (clinton)"
"Abel, Rudolf I. (briefing)"
"Abel, Rudolf I. (clinton)"
"Abel, Rudolf I. (frus)"
"Abell, Andrew (clinton)"
"Abell, Tyler (briefing)"
"Abell, Tyler (frus)"
"Abello, Emilio (briefing)"
"Abello, Emilio (clinton)"
"Abello, Emilio (frus)"
"Abercrombie-Winstanley, Gina K. (briefing)"
"Abercrombie-Winstanley, Gina K. (frus)"
Aberdare (cabinet)
"Aberger, Marie (clinton)"
"Abernethy, Robert (briefing)"
"Abernethy, Robert (frus)"
"Abiba, Sotero (frus)"
"Abidia, Fathi (clinton)"
"Abidia, Fathi (frus)"
"Abott, Fernando (cpdoc)"
"Abouhamad, Khalil (briefing)"
"Abouhamad, Khalil (clinton)"
"Abouhamad, Khalil (frus)"
"Abourezk, James G. (briefing)"
"Abourezk, James G. (clinton)"
"Abourezk, James G. (frus)"
Abraham (cabinet)
"Abraham, E (cabinet)"
"Abrahams, George (clinton)"
"Abram, Morris Berthold (briefing)"
"Abram, Morris Berthold (frus)"
"Abram, Morris; Abram, Morris B. (clinton)"
"Abramov (Abramav), Aleksandr N.; Abramov, Aleksandr N.; Abramov, Alexander N. (clinton)"
"Abramov, Aleksandr N. (briefing)"
"Abramov, Aleksandr N. (frus)"
"Abramovitz, Moses (briefing)"
"Abramovitz, Moses (frus)"
"Abramowitz, Morton Isaac (briefing)"
"Abramowitz, Morton Isaac (frus)"
"Abramowitz, Morton; Abramowitz, Morton I. (clinton)"
"Abrams, Adam (clinton)"
"Abrams, Creighton W., Jr. (briefing)"
"Abrams, Creighton W., Jr. (frus)"
"Abrams, Creighton W.; Abrams, Creighton W., Jr.; Abrams, General Creighton; Abrams, General Creighton W.; Abrams, General Creighton W., Jr.; Abrams, Major General Creighton W. (clinton)"
"Abrams, Elliot (clinton)"
"Abrams, Elliott (briefing)"
"Abrams, Elliott (frus)"
"Abrams, Frank W. (frus)"
"Abramson, David (clinton)"
"Abrasimov, Pyotr A. (briefing)"
"Abrasimov, Pyotr A. (clinton)"
"Abrasimov, Pyotr A. (frus)"
"Abreu Sodré, Roberto (cpdoc)"
"Abreu, Hugo (cpdoc)"
"Abrevaya, Sandra (clinton)"
"Abs, Hermann J. (briefing)"
"Abs, Hermann J. (frus)"
"Abshire, David (clinton)"
"Abshire, David M. (clinton)"
"Abshire, David Manker (briefing)"
"Abshire, David Manker (frus)"
Abu Iyad (briefing)
Abu Iyad (clinton)
Abu Iyad (frus)
"Abu Zaid, Salah (briefing)"
"Abu Zaid, Salah (frus)"
"Abu Zaid, Salah; Abu al-Huda, Tawfiq (clinton)"
"Abu al-Huda, Tawfiq (briefing)"
"Abu al-Huda, Tawfiq (frus)"
"Abud, Manoel (cpdoc)"
"Aburdene, Odeh (clinton)"
"Abzug, Bella S.; Abzug, Bella Savitzky (clinton)"
"Abzug, Bella S.; Abzug, Bella Savitzky (kissinger)"
"Abzug, Bella Savitzky (briefing)"
"Abzug, Bella Savitzky (frus)"
"Accioly, Hildebrando Pompeu Pinto (briefing)"
"Accioly, Hildebrando Pompeu Pinto (frus)"
"Acevedo Alvarez, Eduardo (briefing)"
"Acevedo Alvarez, Eduardo (clinton)"
"Acevedo Alvarez, Eduardo (frus)"
"Acevedo, Eddy (clinton)"
"Achebe, Chinua (briefing)"
"Achebe, Chinua (clinton)"
"Achebe, Chinua (frus)"
"Achenback, Ernst (briefing)"
"Achenback, Ernst (frus)"
"Acheson, Dean (cpdoc)"
"Acheson, Dean Gooderham (briefing)"
"Acheson, Dean Gooderham (cpdoc)"
"Acheson, Dean Gooderham (frus)"
"Acheson, Dean; Acheson, Dean G. (clinton)"
"Achilles, Theodore C; Achilles, Theodore C.; Achilles, Theodore, C. (clinton)"
"Achilles, Theodore Carter (briefing)"
"Achilles, Theodore Carter (frus)"
"Acikalin, Cevat (clinton)"
"Acker, Heinrich (briefing)"
"Acker, Heinrich (frus)"
"Ackerman, Karl D. (frus)"
"Ackerman, Ralph H. (clinton)"
"Ackerman, Ralph H. (frus)"
"Ackerman, Steven (clinton)"
"Ackerson, Garret G., Jr. (frus)"
"Ackerson, Garret G., Jr.; Ackerson, Garrett G., Jr. (clinton)"
